id;status;description;ip_address;creation_date;user_id;demand_id
1;ASSIGNED;cutting-edge Dominican Peso;system metrics;2020-04-05;1;1
2;IN_PROCESS;bandwidth compelling;Usability Cambridgeshire;2020-04-05;2;2
3;OPEN;transform Metal;Corporate;2020-04-05;1;3
4;REJECTED;Texas;Credit Card Account protocol;2020-04-05;2;4
5;OPEN;navigate lavender Orchestrator;primary Branding deposit;2020-04-05;2;5
6;OPEN;lavender visualize holistic;withdrawal deposit;2020-04-04;2;6
7;REJECTED;Avon deposit;Pizza;2020-04-05;1;7
8;DONE;override solid state programming;Beauty Legacy;2020-04-05;1;8
9;REJECTED;Rubber;generating Camp Ports;2020-04-05;2;9
10;OPEN;Awesome Heard Island and McDonald Islands;budgetary management;2020-04-05;1;10
